state,mean
Abia,4083569.925
Adamawa,3606704.307
Akwa Ibom,3485612.691
Anambra,4228761.011
Bauchi,6179030.012
Bayelsa,1099951.635
Benue,4447787.076
Borno,5576313.114
Cross River,2969530.725
Delta,3665151.298
Ebonyi,2771531.855
Edo,4020368.695
Ekiti,2073712.383
Enugu,2854860.125
"Fct, Abuja",3830663.104
Gombe,2861075.008
Imo,7151542.053
Jigawa,5698878.094
Kaduna,8620188.774
Kano,13724246.27
Katsina,8504419.012
Kebbi,4051883.05
Kogi,2866670.813
Kwara,2591236.195
Lagos,9519845.833
Nasarawa,3834118.452
Niger,5625974.473
Ogun,9506519.648
Ondo,4093637.401
Osun,4747218.528
Oyo,6922833.112
Plateau,3639275.181
Rivers,5289908.623
Sokoto,5123172.694
Taraba,4228506.619
Yobe,3409357.802
Zamfara,3457180.991
